item_id,lost_or_found,item_name,description,color,brand,location,user,timestamp
44,found,Pen Drive,Found a red pen drive with minor marks.,red,Cello,Main Gate,Suma,2025-08-15 17:34:15
45,lost,Wallet,"Can't find my wallet (white), has a sticker.",white,Adidas,Gym,Rahul,2025-09-22 17:34:15
46,found,Wallet,Found sum wallet (white) lol... not sure whose.,white,Adidas,Gym,Yash,2025-09-07 17:34:15
47,lost,Lunch Box,"I lost my blue lunch box, has scratches near the edge.",blue,Lenovo,Auditorium,Deepak,2025-11-21 17:34:15
48,found,Lunch Box,Found a blue lunch box with minor marks.,blue,Lenovo,Auditorium,Arjun,2025-09-13 17:34:15
49,lost,Pen,"Missing pen (red), last seen near campus.",red,Lenovo,Hostel Block A,Shiva,2025-10-26 17:34:15
50,found,Textbook,Description mismatch idk what this is.,purple,WildHorn,Auditorium,Deepak,2025-10-02 17:34:15
51,lost,Mobile Case,"My blue mobile case is gone, slightly damaged.",blue,Casio,Hostel Block B,Rohit,2025-08-09 17:34:15
52,found,Mobile Case,Mobile Case (blue) discovered near walkway.,blue,Casio,Hostel Block B,Harsha,2025-09-18 17:34:15
53,lost,Laptop Bag,"Can't find my laptop bag (white), has a sticker.",white,Lenovo,Corridor,Ravi,2025-10-23 17:34:15
54,found,Laptop Bag,Found a white laptop bag with minor marks.,white,Lenovo,Corridor,Vikas,2025-09-09 17:34:15
55,lost,Marker,L0st marker (white) bro pls help find.,white,Casio,Gym,Kavya,2025-09-07 17:34:15
56,found,Marker,"white marker found, looks used but fine.",white,Casio,Gym,Arjun,2025-11-19 17:34:15
57,lost,Laptop Bag,"Can't find my laptop bag (white), has a sticker.",white,Dell,Library,Rahul,2025-08-31 17:34:15
58,found,Laptop Bag,Found sum laptop bag (white) lol not sure whose.,white,Dell,Library,Ravi,2025-08-12 17:34:15
59,lost,Lunch Box,"My yellow lunch box is gone, slightly damaged.",yellow,Puma,Garden,Rohit,2025-10-27 17:34:15
60,found,Pen,Object does not match any typica!!l campus items.,red,Reebok,Canteen,Megha,2025-10-21 17:34:15
61,lost,Tumbler,L0st tumbler (black) bro pls help find.,black,Samsung,Academic Block,Suma,2025-10-30 17:34:15
62,found,Tumbler,Tumbler (black) discovered near walkway.,black,Samsung,Academic Block,Rahul,2025-08-30 17:34:15
63,lost,Notebook,"My grey notebook is gone, slightly damaged.",grey,Lenovo,Classroom A102,Yash,2025-09-29 17:34:15
64,found,Notebook,Found sum notebook (grey) lol not sure whose.,grey,Lenovo,Classroom A102,Deepak,2025-10-31 17:34:15
65,lost,Earphones,"My brown earphones is gone, slightly damaged.",brown,Fastrack,Seminar Hall,Pooja,2025-09-19 17:34:15
66,found,Earphones,"brown earphones found, looks used but fine.",brown,Fastrack,Seminar Hall,Ananya,2025-09-29 17:34:15
67,lost,Cap,"I lost my grey cap, has scratches near the edge.",grey,Lenskart,Classroom A102,Shiva,2025-08-08 17:34:15
68,found,Cap,pls Cap (grey) discovered near walkway.,grey,Lenskart,Classroom A102,Suma,2025-09-13 17:34:15
69,lost,Notebook,"lol Dropped my brown notebook somewhere, idk where.",brown,Lenovo,Corridor,Pooja,2025-08-21 17:34:15
70,found,Notebook,Notebook (brown) discovered near walkway.,brown,Lenovo,Corridor,Harsha,2025-11-02 17:34:15
71,lost,Pen Drive,"Can't find my pen drive (grey), has a sticker.",grey,Puma,Academic Block,Siri,2025-09-14 17:34:15
72,found,Pen Drive,"grey pen drive found, looks used but fine.",grey,Puma,Academic Block,Manoj,2025-10-12 17:34:15
73,lost,Shoe,"pls I lost my pink shoe, has scratches near the edge.",pink,Casio,Classroom A102,Harsha,2025-11-05 17:34:15
74,found,Shoe,Found a pink shoe with minor marks.,pink,Casio,Classroom A102,Siri,2025-08-28 17:34:15
75,lost,Glasses,"I lost my green glasses, has scratches near the edge.",green,Reebok,Gym,Rohit,2025-09-19 17:34:15
76,found,Glasses,Glasses (green) discovere d near walkway.,green,Reebok,Gym,Nikhil,2025-11-07 17:34:15
77,lost,Notebook,"My red notebook is gone, slightly damaged.",red,Pearson,Corridor,Shiva,2025-09-23 17:34:15
78,found,Notebook,Notebook (red)q discovered near walkway.,red,Pearson,Corridor,Kiran,2025-09-10 17:34:15
79,lost,Calculator,"Can't find my calculator (blue), has a sticker.",blue,WildHorn,Sports Ground,Sneha,2025-11-26 17:34:15
80,found,Calculator,"blue calculator found, looks used but fine.",blue,WildHorn,Sports Ground,Deepak,2025-11-15 17:34:15
81,lost,Ruler,"Dropped my silver ruler somewhere, idk where.",silver,Pearson,Classroom A102,Nikhil,2025-09-22 17:34:15
82,found,USB Cable,Object does not match any typical campus items.,blue,Nike,Hostel Block B,Ravi,2025-08-20 17:34:15
83,lost,Textbook,"I lost my pink textbook, has scratches near t!!he edge.",pink,Lenskart,Academic Block,Deepak,2025-09-20 17:34:15
84,found,Textbook,"Picked up pink textbook, belongs to someone.",pink,Lenskart,Academic Block,Megha,2025-08-20 17:34:15
85,lost,USB Cable,"I lost my red uzsb cable, has scratches near the edge.",red,Boat,Bus Stop,Yash,2025-11-15 17:34:15
86,found,USB Cable,"Picked up red usb cable, belongs to someone.",red,Boat,Bus Stop,Nikhil,2025-11-30 17:34:15
87,lost,Bag,"I lost my pink bag, has scratches near the edge.",pink,Lenovo,Sports Ground,Suma,2025-08-06 17:34:15
88,found,Power Bank,"Unclear item, hard to identify.",green,Samsung,Study Hall,Amit,2025-10-15 17:34:15
89,lost,Notebook,"I lost my brown notebook, has scratches near the edge.",brown,Casio,Main Gate,Deepak,2025-10-08 17:34:15
90,found,Glasses,Object does not match any typical campus items.,red,HP,Auditorium,Arjun,2025-08-19 17:34:15
91,lost,Watch,L0st watch (grey) bro pls help find.,grey,Fastrack,Canteen,Deepak,2025-11-18 17:34:15
92,found,Flask,Description mismatch idk what this is.,brown,Boat,Auditorium,Sneha,2025-08-14 17:34:15
93,lost,Textbook,"My green textbook is gone, slightly damaged.",green,MI,Study Hall,Pooja,2025-08-25 17:34:15
94,found,Textbook,"Picked up green textbook, belongs to someone.",green,MI,Study Hall,Ravi,2025-09-15 17:34:15
95,lost,Pen Drive,lol L0st pen drive (blue) bro pls help find.,blue,Milton,Seminar Hall,Ananya,2025-11-15 17:34:15
96,found,Pen Drive,"blue pen drive found, looks used but fine.",blue,Milton,Seminar Hall,Deepak,2025-09-23 17:34:15
97,lost,Watch,"Dropped my red watch somewhere, idk where.",red,Adidas,Sports Complex,Deepak,2025-10-04 17:34:15
98,found,Pen Drive,Found something totally unrelated.,pink,Nike,Main Gate,Rahul,2025-09-07 17:34:15
99,lost,USB Cable,"Can't find my usb cable (purple), has a sticker.",purple,Puma,Corridor,Pooja,2025-09-30 17:34:15
100,found,USB Cable,USB Cable (purple) discovered near walkway.,purple,Puma,Corridor,Vikas,2025-10-17 17:34:15
101,lost,Tumbler,"My grey tumbler is gone, slightly damaged.",grey,Casio,Classroom A102,Shiva,2025-09-08 17:34:15
102,found,Tumbler,"grey tumbler found, looks used but fine.",grey,Casio,Classroom A102,Amit,2025-09-21 17:34:15
103,lost,Folder,"Dropped my grey folder somewhere, idk where.",grey,Lenskart,Sports Ground,Ravi,2025-09-14 17:34:15
104,found,Folder,xFound sum folder (grey) lol not sure whose.,grey,Lenskart,Sports Ground,Sneha,2025-08-22 17:34:15
105,lost,USB Cable,"Can't find my usb cable (yellow), has a sticker.",yellow,Fastrack,Study Hall,Ananya,2025-08-29 17:34:15
106,found,Notepad,Object does not match any typical campus items.,green,Pearson,Hostel Block A,Ananya,2025-09-29 17:34:15
107,lost,Water Bottle,"My white water bottle is gone, slightly damaged.",white,Milton,Canteen,Megha,2025-10-25 17:34:15
108,found,Ruler,"Unclear item, hard to identify.",green,Fastrack,Sports Complex,Kiran,2025-09-15 17:34:15
109,lost,Tumbler,"Dropped my purple tumbler somewhere, idk where.",purple,Reebok,Auditorium,Harsha,2025-08-19 17:34:15
110,found,Tumbler,Found a purple tumbler with minor marks.,purple,Reebok,Auditorium,Pooja,2025-08-16 17:34:15
111,lost,Sketchbook,"ngl Can't find my sketchbook (brown), has a sticker.",brown,Lenovo,Main Gate,Yash,2025-08-09 17:34:15
112,found,Bag,Found something totally unrelated.,purple,Lenskart,Corridor,Megha,2025-11-06 17:34:15
113,lost,Earphones,"I lost my blue earphones, has scratches near the edge.",blue,MI,Main Gate,Kavya,2025-10-02 17:34:15
114,found,Earphones,"Picked up blue earphones, belongs to someone.",blue,MI,Main Gate,Rahul,2025-09-16 17:34:15
115,lost,Folder,"Can't find my folder (yellow), has a sticker.",yellow,Samsung,Cricket Ground,Harsha,2025-09-14 17:34:15
116,found,Tumbler,Found something totally unrelated.,white,WildHorn,Study Hall,Deepak,2025-08-29 17:34:15
117,lost,Ruler,"I lost my grey ruler, has scratches near the edge.",grey,Dell,Main Gate,Kiran,2025-09-10 17:34:15
118,found,Ruler,"grey ruler found, looks used but fine.",grey,Dell,Main Gate,Deepak,2025-08-08 17:34:15
119,lost,Tumbler,L0st tumbler (purple) bro pls help find.,purple,Reebok,Cricket Ground,Rahul,2025-11-04 17:34:15
120,found,Tumbler,Found a purple tumbler with minor marks.,purple,Reebok,Cricket Ground,Megha,2025-09-05 17:34:15
121,lost,Notepad,"yaar I lost my blue notepad, has scratches near the edge.",blue,Reebok,Hostel Block A,Ananya,2025-11-16 17:34:15
122,found,Notepad,Notepad (blue) dqiscovered near walkway.,blue,Reebok,Hostel Block A,Kavya,2025-10-11 17:34:15
123,lost,Flask,"pls Can't find my flask (pink), ha s a sticker.",pink,None,Hostel Block B,Amit,2025-09-08 17:34:15
124,found,Flask,Flask (pink) discovered near walkway.,pink,None,Hostel Block B,Rahul,2025-11-04 17:34:15
125,lost,Pen Drive,"I lost my yellow pen drive, has scratches near the edge.",yellow,Cello,Garden,Shiva,2025-10-04 17:34:15
126,found,Pen Drive,"yellow pen drive found, looks used but fine.",yellow,Cello,Garden,Rahul,2025-11-11 17:34:15
127,lost,Pen Drive,"I lost my grey pen drive, has scratches near the edge.",grey,Pearson,Study Hall,Ravi,2025-11-25 17:34:15
128,found,Pen Drive,"grey pen drive found, looks used but fine.",grey,Pearson,Study Hall,Sneha,2025-11-24 17:34:15
129,lost,Cap,"I lost my pink cap, has scratches near the edge.",pink,Lenskart,Hostel Block B,Kiran,2025-08-08 17:34:15
130,found,Cap,"pink cap found, looks used but fine.",pink,Lenskart,Hostel Block B,Kavya,2025-09-25 17:34:15
131,lost,Sketchbook,"Dropped my red sketchbook somewhere, idk where.",red,None,Corridor,Kavya,2025-11-08 17:34:15
132,found,Sketchbook,Found a red sketchbook w!!ith minor marks.,red,None,Corridor,Shiva,2025-08-31 17:34:15
133,lost,USB Cable,L0st usb cable (white) bro pls help find.,white,MI,Hostel Block B,Shiva,2025-08-04 17:34:15
134,found,USB Cable,Found sum usb cable (white) lol not sure whose.,white,MI,Hostel Block B,Sneha,2025-09-18 17:34:15
135,lost,Tumbler,"Can't find my tuxmbler (black), has a sticker.",black,Boat,Gym,Ananya,2025-10-10 17:34:15
136,found,Tumbler,Tumbler (black) discovered near walkway.,black,Boat,Gym,Suma,2025-08-08 17:34:15
137,lost,Mobile Case,"My yellow mobile case is gone, slightly damaged.",yellow,Dell,Bus Stop,Deepak,2025-08-24 17:34:15
138,found,Mobile Case,Mobile Case (yellow) d...iscovered near walkway.,yellow,Dell,Bus Stop,Manoj,2025-11-02 17:34:15
139,lost,Tumbler,"Can't find my tumbler (purple), has a sticker.",purple,HP,Admin Block,Ananya,2025-09-19 17:34:15
140,found,Ruler,Object does not match any typical campus items.,pink,Reebok,Study Hall,Ravi,2025-11-20 17:34:15
141,lost,Pen,"Dropped my red pen somewhere, idk where.",red,Reebok,Auditorium,Kavya,2025-10-26 17:34:15
142,found,Pen,"dude Picked up red pen, belongs to someone.",red,Reebok,Auditorium,Ananya,2025-10-30 17:34:15
143,lost,Lunch Box,"Missing lunch box (white), last seen near campus.",white,Pearson,Cricket Ground,Nikhil,2025-08-18 17:34:15
144,found,Lunch Box,Lunch Box (white) discovered near walkway.,white,Pearson,Cricket Ground,Megha,2025-10-24 17:34:15
145,lost,Clipboard,"I lost my green clipboard, has scratches near the edge.",green,Casio,Classroom A102,Deepak,2025-11-20 17:34:15
146,found,Clipboard,"Picked up green clipboard, belongs to someone.",green,Casio,Classroom A102,Harsha,2025-09-07 17:34:15
147,lost,Glasses,L0st glasses (pink) bro pls help find.,pink,Puma,Library,Nikhil,2025-11-26 17:34:15
148,found,Glasses,"Picked up pink glasses, belongs to someone.",pink,Puma,Library,Megha,2025-09-06 17:34:15
149,lost,Watch,"My purple watch is gone, slightly damaged.",purple,Puma,Hostel Block B,Siri,2025-09-07 17:34:15
150,found,Watch,"purple watch found, looks usezd but fine.",purple,Puma,Hostel Block B,Rahul,2025-11-02 17:34:15
151,lost,Pen,"My brown pen is gone, slightly damaged.",brown,None,Garden,Ravi,2025-08-18 17:34:15
152,found,Pen,"yaar Picked up brown pen, belongs to someone.",brown,None,Garden,Shiva,2025-11-18 17:34:15
153,lost,Cap,"My black cap is gone, slightly damaged.",black,Adidas,Gym,Deepak,2025-08-20 17:34:15
154,found,Cap,"black cap found, looks used but fine.",black,Adidas,Gym,Suma,2025-08-27 17:34:15
155,lost,Clipboard,"My blue clipboard i!!s gone, slightly damaged.",blue,Boat,Academic Block,Megha,2025-10-09 17:34:15
156,found,Clipboard,Found a blue clipboard with minor marks.,blue,Boat,Academic Block,Deepak,2025-10-19 17:34:15
157,lost,Marker,L0st marker (silver) bro pls help find.,silver,Samsung,Main Gate,Sneha,2025-08-24 17:34:15
158,found,Charger,Object does not match any typical campus items.,brown,Casio,Cricket Ground,Megha,2025-10-29 17:34:15
159,lost,Water Bottle,"My silver water bottle is gone, slightly damaged.",silver,Adidas,Sports Complex,Kiran,2025-10-09 17:34:15
160,found,Water Bottle,Found a silver water bottle with minor marks.,silver,Adidas,Sports Complex,Amit,2025-08-13 17:34:15
161,lost,Pen Drive,"Dropped my white pen drive somewhere, idk where.",white,Dell,Bus Stop,Rohit,2025-11-29 17:34:15
162,found,Pen Drive,Found sum pen drive (white) lol not sure whose.,white,Dell,Bus Stop,Yash,2025-09-13 17:34:15
163,lost,Pen Drive,"Can't find my pen drive (pink), has a sticker.",pink,Lenovo,Main Gate,Ananya,2025-10-26 17:34:15
164,found,Pen Drive,Found a pink pen drive with minor marks.,pink,Lenovo,Main Gate,Manoj,2025-11-27 17:34:15
165,lost,Notebook,"Can't find my notebook (purple), has a sticker.",purple,Reebok,Parking Area,Harsha,2025-08-22 17:34:15
166,found,Notebook,Notebook (purple) discovered near walkway.,purple,Reebok,Parking Area,Ravi,2025-11-04 17:34:15
167,lost,Sketchbook,"pls Missing sketchbook (white), last seen near campus.",white,Cello,Admin Block,Sneha,2025-11-01 17:34:15
168,found,Sketchbook,Sketcxhbook (white) discovered near walkway.,white,Cello,Admin Block,Rahul,2025-10-24 17:34:15
169,lost,Cap,"Can't find my cap (yellow)q, has a sticker.",yellow,Adidas,Parking Area,Siri,2025-09-14 17:34:15
170,found,Cap,"Picked up yellow cap, belongs to someone.",yellow,Adidas,Parking Area,Suma,2025-09-23 17:34:15
171,lost,Lunch Box,"My black lunch box is gone, slightly damaged.",black,Milton,Seminar Hall,Sneha,2025-08-28 17:34:15
172,found,Lunch Box,Found sum lunch box (black) lol not sure whose.,black,Milton,Seminar Hall,Shiva,2025-11-24 17:34:15
173,lost,Notebook,"Can't find my notebook (grey), has a sticker.",grey,Casio,Academic Block,Ananya,2025-10-24 17:34:15
174,found,Notebook,Found sum notebook (grey) lol not sure whose.,grey,Casio,Academic Block,Rohit,2025-10-04 17:34:15
175,lost,Marker,"bhai Dropped my black marker somewhere, idk where.",black,Samsung,Bus Stop,Ananya,2025-11-13 17:34:15
176,found,Tumbler,Item looks damaged and unrecognizable.,green,HP,Sports Ground,Deepak,2025-09-15 17:34:15
177,lost,Clipboard,"Dropped my yellow qclipboard somewhere, idk where.",yellow,Pearson,Sports Ground,Nikhil,2025-09-30 17:34:15
178,found,Clipboard,"idk yellow clipboard found, looks used but fine.",yellow,Pearson,Sports Ground,Shiva,2025-11-23 17:34:15
179,lost,Laptop Bag,"My silver laptop bag is gone, slightly damaged.",silver,Dell,Corridor,Ananya,2025-11-15 17:34:15
180,found,Laptop Bag,Found a silver laptop bag with minor marks.,silver,Dell,Corridor,Harsha,2025-09-30 17:34:15
181,lost,Pen,L0st pen (white) bro pls help find.,white,WildHorn,Hostel Block A,Pooja,2025-11-23 17:34:15
182,found,Charger,"Unclearx item, hard to identify.",grey,Milton,Main Gate,Megha,2025-10-02 17:34:15
183,lost,ID Card,"I lost my red id card, has scratches near th!!e edge.",red,Cello,Library,Pooja,2025-11-22 17:34:15
184,found,ID Card,ID Card (red) discovered near walkway.,red,Cello,Library,Rahul,2025-08-18 17:34:15
185,lost,Calculator,"My white calculator is gone, slightly da!!maged.",white,Puma,Admin Block,Ananya,2025-12-01 17:34:15
186,found,Calculator,Found sum calculator (white) lol not sure whose.,white,Puma,Admin Block,Pooja,2025-11-16 17:34:15
187,lost,USB Cable,L0st usb cable (black) bro pls help find.,black,None,Parking Area,Shiva,2025-10-21 17:34:15
188,found,USB Cable,Found sum usb cable (black) lol not sure whose.,black,None,Parking Area,Vikas,2025-12-01 17:34:15
189,lost,Power Bank,"Dropped my brown power bank somewhere, idk where.",brown,Lenskart,Auditorium,Kavya,2025-09-15 17:34:15
190,found,Power Bank,"Picked... up brown power bank, belongs to someone.",brown,Lenskart,Auditorium,Rahul,2025-11-24 17:34:15
191,lost,Clipboard,"btw Dropped my silver clipboard somewhere, idk where.",silver,None,Cricket Ground,Yash,2025-09-30 17:34:15
192,found,Clipboard,Found sum clipboard (silver) lol nozt sure whose.,silver,None,Cricket Ground,Ravi,2025-09-24 17:34:15
193,lost,Shoe,"Dropped my red shoe somewhere, idk where.",red,Dell,Hostel Block B,Yash,2025-09-25 17:34:15
194,found,Laptop Bag,Found something totally unrelated.,yellow,Milton,Gym,Deepak,2025-09-09 17:34:15
195,lost,Folder,"Dropped my black folder somewhere, idk where.",black,Puma,Gym,Manoj,2025-09-22 17:34:15
196,found,Wallet,Found something totally unrelated.,black,Fastrack,Sports Ground,Manoj,2025-08-09 17:34:15
197,lost,Laptop Bag,"Can't find my laptop bag (white), has a sticker.",white,None,Corridor,Ananya,2025-10-26 17:34:15
198,found,Laptop Bag,Found a white laptop bag  with minor marks.,white,None,Corridor,Vikas,2025-10-23 17:34:15
199,lost,Tumbler,L0st tumbler (black)!! bro pls help find.,black,Boat,Academic Block,Sneha,2025-09-11 17:34:15
200,found,Earphones,Object does not match any typical campus items.,red,Milton,Bus Stop,Ravi,2025-10-06 17:34:15
201,lost,Textbook,"dude Can't find my textbook (red), has a sticker.",red,Puma,Library,Pooja,2025-09-19 17:34:15
202,found,Textbook,"red textbook found, looks used but fine.",red,Puma,Library,Ananya,2025-08-10 17:34:15
203,lost,Keychain,"My red keychain is gone, slightly damaged.",red,Casio,Cricket Ground,Vikas,2025-08-08 17:34:15
204,found,Keychain,Found a red keychain with minor marks.,red,Casio,Cricket Ground,Shiva,2025-10-04 17:34:15
205,lost,Wallet,btw L0st wallet (blue) bro pls help find.,blue,HP,Garden,Siri,2025-10-22 17:34:15
206,found,Wallet,Wallet (blue) discovered near walkway.,blue,HP,Garden,Suma,2025-10-05 17:34:15
207,lost,Water Bottle,"Dropped my pink water bottle somewhere, idk where.",pink,MI,Sports Ground,Rahul,2025-11-26 17:34:15
208,found,Water Bottle,Found something totally unrelated.,blue,Samsung,Admin Block,Harsha,2025-08-10 17:34:15
209,lost,Calculator,"Missing calculator (red), last seen near campus.",red,Milton,Sports Ground,Rahul,2025-11-22 17:34:15
210,found,Calculator,Found sum calculator (red) lol not sure whose.,red,Milton,Sports Ground,Manoj,2025-11-24 17:34:15
211,lost,Bag,"Dropped my blue bag somewhere, idk where.",blue,Adidas,Sports Complex,Manoj,2025-11-19 17:34:15
212,found,Water Bottle,Object does not match any typical campus items.,silver,Boat,Sports Ground,Harsha,2025-11-30 17:34:15
213,lost,Pen Drive,L0st pen drive (blue) bro pls help find.,blue,Adidas,Seminar Hall,Rohit,2025-11-11 17:34:15
214,found,Pen Drive,"blue pen drive found, looks used but fine.",blue,Adidas,Seminar Hall,Amit,2025-08-27 17:34:15
215,lost,Notepad,"My blue notepad is gone, slightly damaged.",blue,Adidas,Gym,Shiva,2025-10-30 17:34:15
216,found,Keychain,Found something totally unrelated.,green,Lenovo,Auditorium,Nikhil,2025-09-18 17:34:15
217,lost,Pencil Box,"Missing pencil box (pink), last seen near campus.",pink,WildHorn,Bus Stop,Arjun,2025-08-30 17:34:15
218,found,Pencil Box,"pink pencil box found, l...ooks used but fine.",pink,WildHorn,Bus Stop,Yash,2025-11-19 17:34:15
219,lost,Bag,L0st bag (green) bro pls he...lp find.,green,WildHorn,Hostel Block B,Ananya,2025-10-11 17:34:15
220,found,Water Bottle,btw Object does not match any typical campus items.,black,Cello,Admin Block,Rohit,2025-10-15 17:34:15
221,lost,Laptop Bag,"I lost my grey laptop bag, has scratches near the edge.",grey,Lenovo,Cricket Ground,Siri,2025-11-14 17:34:15
222,found,Charger,Description mismatch idk what this is.,grey,Boat,Study Hall,Nikhil,2025-09-14 17:34:15
223,lost,ID Card,"My pink id card is gone, slightly damaged.",pink,Casio,Seminar Hall,Amit,2025-11-12 17:34:15
224,found,ID Card,"Picked up pink id card, belongs to someone.",pink,Casio,Seminar Hall,Megha,2025-09-05 17:34:15
225,lost,Water Bottle,"bro Can't find my water bottle (yellow), has a sticker.",yellow,Milton,Sports Complex,Yash,2025-11-07 17:34:15
226,found,Pen,Item looks damaged and unrecognizable.,red,Pearson,Gym,Arjun,2025-11-05 17:34:15
227,lost,Watch,"Can't find my watch (yellow), has a sticker.",yellow,Lenovo,Admin Block,Nikhil,2025-10-31 17:34:15
228,found,Watch,Found a yellow watch with minor marks.,yellow,Lenovo,Admin Block,Deepak,2025-10-17 17:34:15
229,lost,Wallet,idk L0st wallet (purple) bro pls help find.,purple,Milton,Hostel Block A,Vikas,2025-09-27 17:34:15
230,found,Wallet,Waqllet (purple) discovered near walkway.,purple,Milton,Hostel Block A,Rahul,2025-09-02 17:34:15
231,lost,ID Card,"Missing id card (blue), last seen near campus.",blue,None,Main Gate,Deepak,2025-10-18 17:34:15
232,found,Water Bottle,Object does not match any typical campus items.,purple,Adidas,Parking Area,Sneha,2025-11-29 17:34:15
233,lost,Water Bottle,"Missing water bottle (purple), last seen near campus.",purple,HP,Parking Area,Ananya,2025-11-20 17:34:15
